"","query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species.group","species","subspecies","varietas"
"Taxa00269","Taxa00269","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00270","Taxa00270","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","","","","",""
"Taxa00271","Taxa00271","","","","","","","","","","","","","","","",""
"Taxa00272","Taxa00272","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00273","Taxa00273","","","","","","","","","","","","","","","",""
"Taxa00274","Taxa00274","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00275","Taxa00275","","","","","","","","","","","","","","","",""
"Taxa00276","Taxa00276","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00277","Taxa00277","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","Phoma","","","",""
"Taxa00278","Taxa00278","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","","","","","","","","","",""
"Taxa00279","Taxa00279","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","","","","","","Sakaguchia","","Sakaguchia oryzae","",""
"Taxa00280","Taxa00280","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00281","Taxa00281","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00282","Taxa00282","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Cryptococcaceae","","","Cryptococcus","","","",""
"Taxa00283","Taxa00283","Eukaryota","Fungi","Dikarya","Ascomycota","Leotiomycetes","","Helotiales","","Sclerotiniaceae","","","","","","",""
"Taxa00284","Taxa00284","","","","","","","","","","","","","","","",""
"Taxa00285","Taxa00285","","","","","","","","","","","","","","","",""
"Taxa00286","Taxa00286","Eukaryota","Fungi","Dikarya","Ascomycota","Saccharomycetes","","Saccharomycetales","","Trichomonascaceae","","","","","","",""
"Taxa00287","Taxa00287","","","","","","","","","","","","","","","",""
"Taxa00288","Taxa00288","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa00289","Taxa00289","Eukaryota","","","","Oomycetes","","","","","","","","","","",""
"Taxa00290","Taxa00290","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00291","Taxa00291","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00292","Taxa00292","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","Trichosphaeriales","","Trichosphaeriaceae","","","Nigrospora","","","",""
"Taxa00293","Taxa00293","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","","","","","","","","","",""
"Taxa00294","Taxa00294","Eukaryota","Fungi","Dikarya","Ascomycota","Arthoniomycetes","","Lichenostigmatales","","Phaeococcomycetaceae","","","Phaeococcomyces","","","",""
"Taxa00295","Taxa00295","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Sphaerulina","","Sphaerulina berberidis","",""
"Taxa00296","Taxa00296","","","","","","","","","","","","","","","",""
"Taxa00297","Taxa00297","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco02","",""
"Taxa00298","Taxa00298","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","","","","",""
"Taxa00299","Taxa00299","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleraceae","","","Genolevuria","","","",""
"Taxa00300","Taxa00300","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00301","Taxa00301","Eukaryota","Fungi","Dikarya","Ascomycota","Saccharomycetes","","Saccharomycetales","","","","","","","","",""
"Taxa00302","Taxa00302","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","","","","","","","","","",""
"Taxa00303","Taxa00303","","","","","","","","","","","","","","","",""
"Taxa00304","Taxa00304","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00305","Taxa00305","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Vialaeaceae","","","Vialaea","","Vialaea insculpta","",""
"Taxa00306","Taxa00306","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00307","Taxa00307","","","","","","","","","","","","","","","",""
"Taxa00308","Taxa00308","","","","","","","","","","","","","","","",""
"Taxa00309","Taxa00309","","","","","","","","","","","","","","","",""
"Taxa00310","Taxa00310","","","","","","","","","","","","","","","",""
"Taxa00311","Taxa00311","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00312","Taxa00312","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","",""
"Taxa00313","Taxa00313","","","","","","","","","","","","","","","",""
"Taxa00314","Taxa00314","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00315","Taxa00315","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00316","Taxa00316","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Cystofilobasidiales","","Mrakiaceae","","","Udeniomyces","","Udeniomyces pyricola","",""
"Taxa00317","Taxa00317","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00318","Taxa00318","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00319","Taxa00319","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco02","",""
"Taxa00320","Taxa00320","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa00321","Taxa00321","Eukaryota","Fungi","Dikarya","Ascomycota","Eurotiomycetes","Eurotiomycetidae","Eurotiales","","","","","","","","",""
"Taxa00322","Taxa00322","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00323","Taxa00323","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","","","","",""
"Taxa00324","Taxa00324","","","","","","","","","","","","","","","",""
"Taxa00325","Taxa00325","","","","","","","","","","","","","","","",""
"Taxa00326","Taxa00326","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","","",""
"Taxa00327","Taxa00327","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00328","Taxa00328","","","","","","","","","","","","","","","",""
"Taxa00329","Taxa00329","Eukaryota","","","","","","","","","","","","","","",""
"Taxa00330","Taxa00330","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco04","",""
"Taxa00331","Taxa00331","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00332","Taxa00332","","","","","","","","","","","","","","","",""
"Taxa00333","Taxa00333","","","","","","","","","","","","","","","",""
"Taxa00334","Taxa00334","Eukaryota","","","","","","","","","","","","","","",""
"Taxa00335","Taxa00335","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","","","","",""
"Taxa00336","Taxa00336","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Amylostereum","","","",""
"Taxa00337","Taxa00337","","","","","","","","","","","","","","","",""
"Taxa00338","Taxa00338","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa00339","Taxa00339","","","","","","","","","","","","","","","",""
"Taxa00340","Taxa00340","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00341","Taxa00341","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00342","Taxa00342","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00343","Taxa00343","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00344","Taxa00344","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco02","",""
"Taxa00345","Taxa00345","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","Neocatenulostroma","","","",""
"Taxa00346","Taxa00346","","","","","","","","","","","","","","","",""
"Taxa00347","Taxa00347","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00348","Taxa00348","","","","","","","","","","","","","","","",""
"Taxa00349","Taxa00349","Eukaryota","Fungi","Dikarya","Ascomycota","Taphrinomycetes","","Taphrinales","","Taphrinaceae","","","Taphrina","","","",""
"Taxa00350","Taxa00350","","","","","","","","","","","","","","","",""
"Taxa00351","Taxa00351","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco02","",""
"Taxa00352","Taxa00352","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco04","",""
"Taxa00353","Taxa00353","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco04","",""
"Taxa00354","Taxa00354","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00355","Taxa00355","","","","","","","","","","","","","","","",""
"Taxa00356","Taxa00356","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Sporobolomyces","","","",""
"Taxa00357","Taxa00357","","","","","","","","","","","","","","","",""
"Taxa00358","Taxa00358","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa00359","Taxa00359","Eukaryota","","","","Oomycetes","","Saprolegniales","","Saprolegniaceae","","","Achlya","","","",""
"Taxa00360","Taxa00360","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00361","Taxa00361","","","","","","","","","","","","","","","",""
"Taxa00362","Taxa00362","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Nectriaceae","","","Fusarium","","","",""
"Taxa00363","Taxa00363","","","","","","","","","","","","","","","",""
"Taxa00364","Taxa00364","","","","","","","","","","","","","","","",""
"Taxa00365","Taxa00365","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00366","Taxa00366","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Diatrypaceae","","","Eutypella","","","",""
"Taxa00367","Taxa00367","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00368","Taxa00368","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco04","",""
"Taxa00369","Taxa00369","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00370","Taxa00370","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","Phaeosphaeria","","","",""
"Taxa00371","Taxa00371","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00372","Taxa00372","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00373","Taxa00373","","","","","","","","","","","","","","","",""
"Taxa00374","Taxa00374","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Naemateliaceae","","","Dimennazyma","","Dimennazyma cisti-albidi","",""
"Taxa00375","Taxa00375","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa00376","Taxa00376","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco03","",""
"Taxa00377","Taxa00377","","","","","","","","","","","","","","","",""
"Taxa00378","Taxa00378","","","","","","","","","","","","","","","",""
"Taxa00379","Taxa00379","Eukaryota","Fungi","Dikarya","","","","","","","","","","","","",""
"Taxa00380","Taxa00380","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricostilbomycetes","","Agaricostilbales","","Kondoaceae","","","Kondoa","","Kondoa miscanthi","",""
"Taxa00381","Taxa00381","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00382","Taxa00382","Eukaryota","Fungi","","","","","","","","","","","","","",""
"Taxa00383","Taxa00383","Eukaryota","Fungi","Dikarya","Basidiomycota","Ustilaginomycetes","","Ustilaginales","","Ustilaginaceae","","","","","","",""
"Taxa00384","Taxa00384","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00385","Taxa00385","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00386","Taxa00386","","","","","","","","","","","","","","","",""
"Taxa00387","Taxa00387","","","","","","","","","","","","","","","",""
"Taxa00388","Taxa00388","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Peniophoraceae","","","Peniophora","","","",""
"Taxa00389","Taxa00389","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa00390","Taxa00390","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Rhynchogastremataceae","","","Papiliotrema","","","",""
"Taxa00391","Taxa00391","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00392","Taxa00392","","","","","","","","","","","","","","","",""
"Taxa00393","Taxa00393","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","","","","",""
"Taxa00394","Taxa00394","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","Phaeosphaeria","","","",""
"Taxa00395","Taxa00395","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00396","Taxa00396","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco03","",""
