"date","date_time","plot","treatment","spad1","spad2","spad3","height1","height2","height3","gr1","gr2","gr3","spad_r1","spad_r2","spad_r3"
2019-06-19,2019-06-19 08:47:00,"3","RM",42.2,43.2,42.5,38.5,38.4,35.5,1.40487804878049,1.80627177700348,1.00348432055749,0.903135888501748,0.501742160278746,-0.602090592334496
2019-06-19,2019-06-19 08:47:00,"4","CT",40.9,43.2,40.5,38,36.2,38.8,1.90662020905923,1.10383275261324,1.10383275261323,-0.100348432055751,2.91010452961673,1.60557491289199
2019-06-19,2019-06-19 08:48:00,"5","PN",42.8,43.2,40.1,38.8,35.7,35,0.80278745644599,0.401393728223002,0.401393728222995,-0.802787456445997,2.60905923344948,-0.501742160278746
2019-06-19,2019-06-19 08:49:00,"6","RM",42.3,40.3,43.1,38.9,34,36.6,0.401393728222995,0.501742160278746,2.00696864111498,0.100348432055743,-4.21463414634147,2.60905923344948
2019-06-19,2019-06-19 08:49:00,"7","CT",42.5,44.4,43.7,39.1,36.6,35.6,0.501742160278746,0,0.200696864111501,1.30452961672474,-1.60557491289199,0.802787456445997
2019-06-19,2019-06-19 08:50:00,"8","PN",39.8,41.1,40.2,36.2,36,36.8,2.00696864111498,2.00696864111498,0.100348432055743,-1.50522648083624,0.602090592334496,-3.31149825783972
2019-06-19,2019-06-19 08:51:00,"9","RM",40.1,38,40.2,37.5,35,39.4,1.00348432055749,0.401393728222995,0.80278745644599,1.70592334494774,-0.602090592334496,3.91358885017422
2019-06-20,2019-06-20 08:28:00,"1","CT",40.7,42.6,43.3,38.5,39,37.2,0.810126582278478,1.31645569620253,0.202531645569623,0.911392405063297,2.63291139240506,0.607594936708855
2019-06-20,2019-06-20 08:28:00,"2","PN",43.4,41.2,41.4,38.6,38.8,39.4,0.91139240506329,1.31645569620253,3.0379746835443,1.21518987341772,0.506329113924051,0.810126582278478
2019-06-20,2019-06-20 08:29:00,"3","RM",43.8,45.1,41.4,39.3,39.5,36.2,0.810126582278478,1.11392405063291,0.708860759493674,1.62025316455696,1.92405063291139,-1.11392405063291
2019-06-20,2019-06-20 08:29:00,"4","CT",41.5,42.6,42.6,39.5,36.7,39.5,1.51898734177215,0.506329113924051,0.708860759493674,0.607594936708862,-0.607594936708862,2.12658227848101
2019-06-20,2019-06-20 08:30:00,"5","PN",43.2,42.8,41.7,39.1,35.9,35.1,0.303797468354435,0.202531645569616,0.101265822784812,0.405063291139246,-0.405063291139246,1.62025316455696
2019-06-20,2019-06-20 08:31:00,"6","RM",44.4,42.6,42.5,39,36.1,37.7,0.101265822784812,2.12658227848101,1.11392405063291,2.12658227848101,2.32911392405064,-0.607594936708862
2019-06-20,2019-06-20 08:31:00,"7","CT",43.3,41.8,42.4,39.2,39,35.6,0.101265822784812,2.43037974683544,0,0.810126582278478,-2.63291139240506,-1.31645569620254
2019-06-20,2019-06-20 08:32:00,"8","PN",42.5,43.8,41.4,37.3,37,39.7,1.11392405063291,1.0126582278481,2.9367088607595,2.73417721518988,2.73417721518987,1.21518987341772
2019-06-20,2019-06-20 08:33:00,"9","RM",40.9,40.7,40.8,38.1,38,39.8,0.607594936708862,3.0379746835443,0.405063291139239,0.810126582278478,2.73417721518988,0.607594936708855
2019-06-21,2019-06-21 08:23:00,"1","CT",43.1,42.6,42.3,38.6,39.2,37.2,0.100348432055751,0.200696864111501,0,2.40836236933798,0,-1.00348432055749
2019-06-21,2019-06-21 08:24:00,"2","PN",45,43.8,43.8,39.1,39.5,40.6,0.501392757660167,0.701949860724237,1.2033426183844,1.60445682451254,2.60724233983286,2.4066852367688
2019-06-21,2019-06-21 08:26:00,"3","RM",43.5,45.6,45.7,39.5,40.1,36.4,0.20041753653445,0.601252609603342,0.200417536534442,-0.300626304801667,0.501043841336117,4.30897703549061
