"","query","superkingdom","kingdom","subkingdom","phylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"Taxa00620","Taxa00620","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00621","Taxa00621","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00622","Taxa00622","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00623","Taxa00623","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00624","Taxa00624","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","Vexillifera","","",""
"Taxa00625","Taxa00625","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00626","Taxa00626","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Sternorrhyncha","","","Psylloidea","Psyllidae","Psyllinae","","Cacopsylla","","",""
"Taxa00627","Taxa00627","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00628","Taxa00628","Eukaryota","","","","","Oomycetes","","","","Pythiales","","","","","Pythiaceae","","","Pythium","","",""
"Taxa00629","Taxa00629","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00630","Taxa00630","","","","","","","","","","","","","","","","","","","","",""
"Taxa00631","Taxa00631","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00632","Taxa00632","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00633","Taxa00633","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Lutzia","","",""
"Taxa00634","Taxa00634","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00635","Taxa00635","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00636","Taxa00636","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","Amphiesmenoptera","Lepidoptera","Glossata","Neolepidoptera","Heteroneura","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","Stigmella","","",""
"Taxa00637","Taxa00637","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00638","Taxa00638","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00639","Taxa00639","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00640","Taxa00640","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00641","Taxa00641","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Lutzia","","Lutzia vorax",""
"Taxa00642","Taxa00642","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00643","Taxa00643","Eukaryota","","","","","Oomycetes","","","","Saprolegniales","","","","","Saprolegniaceae","","","Achlya","","",""
"Taxa00644","Taxa00644","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Culex","Culex tritaeniorhynchus",""
"Taxa00645","Taxa00645","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00646","Taxa00646","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00647","Taxa00647","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","Vexillifera","","",""
"Taxa00648","Taxa00648","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00649","Taxa00649","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00650","Taxa00650","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00651","Taxa00651","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00652","Taxa00652","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00653","Taxa00653","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00654","Taxa00654","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00655","Taxa00655","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00656","Taxa00656","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00657","Taxa00657","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00658","Taxa00658","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00659","Taxa00659","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00660","Taxa00660","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00661","Taxa00661","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00662","Taxa00662","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00663","Taxa00663","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00664","Taxa00664","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00665","Taxa00665","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00666","Taxa00666","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00667","Taxa00667","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00668","Taxa00668","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00669","Taxa00669","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00670","Taxa00670","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00671","Taxa00671","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00672","Taxa00672","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00673","Taxa00673","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","","",""
"Taxa00674","Taxa00674","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00675","Taxa00675","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00676","Taxa00676","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI05",""
"Taxa00677","Taxa00677","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00678","Taxa00678","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00679","Taxa00679","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00680","Taxa00680","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00681","Taxa00681","Eukaryota","Metazoa","","Rotifera","","Bdelloidea","","","","","","","","","","","","","","",""
"Taxa00682","Taxa00682","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00683","Taxa00683","Eukaryota","","","","","Synurophyceae","","","","Ochromonadales","","","","","Ochromonadaceae","","","Poterioochromonas","","Poterioochromonas malhamensis",""
"Taxa00684","Taxa00684","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00685","Taxa00685","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00686","Taxa00686","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00687","Taxa00687","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa00688","Taxa00688","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00689","Taxa00689","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00690","Taxa00690","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00691","Taxa00691","Eukaryota","","","","","","","","","Kinetoplastida","","","","","Bodonidae","","","Bodo","","Bodo saltans",""
"Taxa00692","Taxa00692","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Sternorrhyncha","","","Psylloidea","Psyllidae","Acizziinae","","Acizzia","","",""
"Taxa00693","Taxa00693","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00694","Taxa00694","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00695","Taxa00695","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00696","Taxa00696","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00697","Taxa00697","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00698","Taxa00698","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00699","Taxa00699","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Syrphoidea","Syrphidae","Syrphinae","Syrphini","Asarkina","","",""
"Taxa00700","Taxa00700","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00701","Taxa00701","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00702","Taxa00702","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00703","Taxa00703","","","","","","","","","","","","","","","","","","","","",""
"Taxa00704","Taxa00704","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00705","Taxa00705","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa00706","Taxa00706","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00707","Taxa00707","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00708","Taxa00708","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00709","Taxa00709","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00710","Taxa00710","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00711","Taxa00711","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00712","Taxa00712","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00713","Taxa00713","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00714","Taxa00714","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00715","Taxa00715","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa00716","Taxa00716","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00717","Taxa00717","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","","","","","","","","","","","",""
"Taxa00718","Taxa00718","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00719","Taxa00719","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","","","","","","","","","","","","","","",""
"Taxa00720","Taxa00720","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa00721","Taxa00721","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00722","Taxa00722","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00723","Taxa00723","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00724","Taxa00724","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00725","Taxa00725","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00726","Taxa00726","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Orthoptera","Caelifera","Acrididea","","Acridoidea","Acrididae","Oxyinae","","Oxya","","Oxya sp. JH-2012",""
"Taxa00727","Taxa00727","Eukaryota","Metazoa","","Nematoda","","Chromadorea","","","","","","","","","","","","","","",""
"Taxa00728","Taxa00728","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00729","Taxa00729","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00730","Taxa00730","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00731","Taxa00731","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Auchenorrhyncha","Fulgoromorpha","","Fulgoroidea","Delphacidae","Criomorphinae","","Laodelphax","","Laodelphax striatella",""
"Taxa00732","Taxa00732","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00733","Taxa00733","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00734","Taxa00734","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00735","Taxa00735","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00736","Taxa00736","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00737","Taxa00737","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Tanytarsini","Paratanytarsus","","Paratanytarsus grimmii",""
"Taxa00738","Taxa00738","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","Amphiesmenoptera","Lepidoptera","Glossata","Neolepidoptera","Heteroneura","Noctuoidea","Noctuidae","Xyleninae","","Trachea","","Trachea atriplicis",""
"Taxa00739","Taxa00739","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","","","","","","","","","","",""
"Taxa00740","Taxa00740","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00741","Taxa00741","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00742","Taxa00742","Eukaryota","","","","","Oomycetes","","","","Pythiales","","","","","Pythiaceae","","","Pythium","","",""
"Taxa00743","Taxa00743","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00744","Taxa00744","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00745","Taxa00745","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Blattodea","","","","Blaberoidea","Ectobiidae","Blattellinae","","Blattella","","",""
"Taxa00746","Taxa00746","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00747","Taxa00747","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00748","Taxa00748","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","","","","","","","",""
"Taxa00749","Taxa00749","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00750","Taxa00750","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00751","Taxa00751","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00752","Taxa00752","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Orthocladiinae","","Limnophyes","","Limnophyes minimus",""
"Taxa00753","Taxa00753","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00754","Taxa00754","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00755","Taxa00755","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00756","Taxa00756","Eukaryota","","","","","","","","","Longamoebia","","","","","Acanthamoebidae","","","Acanthamoeba","","Acanthamoeba sp.",""
"Taxa00757","Taxa00757","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00758","Taxa00758","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00759","Taxa00759","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00760","Taxa00760","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00761","Taxa00761","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00762","Taxa00762","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00763","Taxa00763","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00764","Taxa00764","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","Mymaridae","","","","","",""
"Taxa00765","Taxa00765","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI05",""
"Taxa00766","Taxa00766","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00767","Taxa00767","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00768","Taxa00768","","","","","","","","","","","","","","","","","","","","",""
"Taxa00769","Taxa00769","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00770","Taxa00770","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00771","Taxa00771","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00772","Taxa00772","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00773","Taxa00773","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa00774","Taxa00774","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa00775","Taxa00775","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00776","Taxa00776","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00777","Taxa00777","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00778","Taxa00778","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00779","Taxa00779","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa00780","Taxa00780","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa00781","Taxa00781","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00782","Taxa00782","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00783","Taxa00783","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00784","Taxa00784","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00785","Taxa00785","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00786","Taxa00786","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00787","Taxa00787","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00788","Taxa00788","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00789","Taxa00789","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00790","Taxa00790","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa00791","Taxa00791","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00792","Taxa00792","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","","","","","",""
"Taxa00793","Taxa00793","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00794","Taxa00794","Eukaryota","","","","","","","","","","","","","","Hartmannellidae","","","Vermamoeba","","Vermamoeba vermiformis",""
"Taxa00795","Taxa00795","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00796","Taxa00796","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","","","","","","","",""
"Taxa00797","Taxa00797","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00798","Taxa00798","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00799","Taxa00799","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00800","Taxa00800","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00801","Taxa00801","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00802","Taxa00802","Eukaryota","Metazoa","","Rotifera","","Bdelloidea","","","","","","","","","","","","","","",""
"Taxa00803","Taxa00803","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa00804","Taxa00804","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","","",""
"Taxa00805","Taxa00805","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa00806","Taxa00806","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00807","Taxa00807","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","","",""
"Taxa00808","Taxa00808","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00809","Taxa00809","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00810","Taxa00810","Eukaryota","","","","","Oomycetes","","","","Saprolegniales","","","","","Saprolegniaceae","","","","","",""
"Taxa00811","Taxa00811","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00812","Taxa00812","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00813","Taxa00813","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00814","Taxa00814","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Orthoptera","Caelifera","Acrididea","","Acridoidea","Acrididae","","","","","",""
"Taxa00815","Taxa00815","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
